id_municipio;nombre_municipio;poblacion_total;total_hombres;total_mujeres
05128;Mingorría;389;202;187
05129;Mirón, El;98;63;35
05130;Mironcillo;109;58;51
05131;Mirueña de los Infanzones;88;49;39
05132;Mombeltrán;917;484;433
05133;Monsalupe;59;32;27
05134;Moraleja de Matacabras;53;29;24
05135;Muñana;483;252;231
05136;Muñico;78;45;33
05138;Muñogalindo;301;151;150
05139;Muñogrande;71;38;33
05140;Muñomer del Peco;112;57;55
05141;Muñopepe;103;53;50
05142;Muñosancho;88;48;40
05143;Muñotello;51;28;23
05144;Narrillos del Álamo;60;33;27
05145;Narrillos del Rebollar;37;24;13
05149;Narros de Saldueña;111;57;54
05147;Narros del Castillo;148;81;67
05148;Narros del Puerto;28;15;13
05152;Nava de Arévalo;677;343;334
05153;Nava del Barco;85;44;41
05151;Navacepedilla de Corneja;94;51;43
05154;Navadijos;39;27;12
05155;Navaescurial;52;31;21
05156;Navahondilla;358;212;146
05157;Navalacruz;218;126;92
05158;Navalmoral;364;193;171
05159;Navalonguilla;194;98;96
05160;Navalosa;323;186;137
05161;Navalperal de Pinares;792;419;373
05162;Navalperal de Tormes;83;48;35
05163;Navaluenga;2164;1083;1081
05164;Navaquesera;40;20;20
05165;Navarredonda de Gredos;442;230;212
05166;Navarredondilla;179;100;79
05167;Navarrevisca;304;175;129
05168;Navas del Marqués, Las;5362;2736;2626
05169;Navatalgordo;238;135;103
05170;Navatejares;55;25;30
05171;Neila de San Miguel;62;34;28
05172;Niharra;177;102;75
05173;Ojos-Albos;91;47;44
05174;Orbita;70;39;31
05175;Oso, El;136;80;56
05176;Padiernos;276;155;121
05177;Pajares de Adaja;135;73;62
05178;Palacios de Goda;407;221;186
05179;Papatrigo;221;108;113
05180;Parral, El;61;38;23
05181;Pascualcobo;38;25;13
05182;Pedro Bernardo;771;405;366
05183;Pedro-Rodríguez;135;71;64
05184;Peguerinos;303;167;136
05185;Peñalba de Ávila;103;58;45
05186;Piedrahíta;1662;799;863
05187;Piedralaves;2136;1061;1075
05188;Poveda;34;19;15
05189;Poyales del Hoyo;493;268;225
05190;Pozanco;56;35;21
05191;Pradosegar;119;67;52
05192;Puerto Castilla;100;61;39
05193;Rasueros;161;90;71
05194;Riocabado;131;78;53
05195;Riofrío;195;120;75
05196;Rivilla de Barajas;62;29;33
05197;Salobral;111;60;51
05198;Salvadiós;77;39;38
05199;San Bartolomé de Béjar;54;29;25
05200;San Bartolomé de Corneja;37;21;16
05201;San Bartolomé de Pinares;501;276;225
05206;San Esteban de los Patos;20;13;7
05208;San Esteban de Zapardiel;39;21;18
05207;San Esteban del Valle;745;383;362
05209;San García de Ingelmos;70;46;24
05901;San Juan de Gredos;248;135;113
05210;San Juan de la Encinilla;65;33;32
05211;San Juan de la Nava;435;242;193
05212;San Juan del Molinillo;234;124;110
05213;San Juan del Olmo;80;52;28
05214;San Lorenzo de Tormes;32;17;15
05215;San Martín de la Vega del Alberche;161;97;64
05216;San Martín del Pimpollar;220;127;93
05217;San Miguel de Corneja;70;37;33
05218;San Miguel de Serrezuela;103;56;47
05219;San Pascual;43;26;17
05220;San Pedro del Arroyo;500;265;235
05231;San Vicente de Arévalo;166;93;73
05204;Sanchidrián;710;369;341
05205;Sanchorreja;80;41;39
05222;Santa Cruz de Pinares;172;102;70
05221;Santa Cruz del Valle;322;166;156
05226;Santa María de los Caballeros;67;42;25
05224;Santa María del Arroyo;101;55;46
05225;Santa María del Berrocal;374;190;184
05902;Santa María del Cubillo;315;177;138
05227;Santa María del Tiétar;533;276;257
05228;Santiago del Collado;168;106;62
05904;Santiago del Tormes;110;60;50
05229;Santo Domingo de las Posadas;72;38;34
05230;Santo Tomé de Zabarcos;70;42;28
05232;Serrada, La;137;70;67
05233;Serranillos;279;154;125
05234;Sigeres;41;20;21
05235;Sinlabajos;136;63;73
05236;Solana de Ávila;107;62;45
05237;Solana de Rioalmar;149;87;62
05238;Solosancho;779;418;361
05239;Sotalbo;247;146;101
05240;Sotillo de la Adrada;4870;2425;2445
05241;Tiemblo, El;4445;2264;2181
05242;Tiñosillos;759;388;371
05243;Tolbaños;82;47;35
05244;Tormellas;36;23;13
05245;Tornadizos de Ávila;456;223;233
05247;Torre, La;223;123;100
05246;Tórtoles;37;22;15
05249;Umbrías;103;52;51
05251;Vadillo de la Sierra;58;37;21
05252;Valdecasa;57;36;21
05253;Vega de Santa María;76;38;38
05254;Velayos;211;106;105
05256;Villaflor;102;55;47
05257;Villafranca de la Sierra;130;76;54
05905;Villanueva de Ávila;230;125;105
05258;Villanueva de Gómez;115;66;49
05259;Villanueva del Aceral;97;45;52
05260;Villanueva del Campillo;105;58;47
05261;Villar de Corneja;37;23;14
05262;Villarejo del Valle;327;176;151
05263;Villatoro;152;85;67
05264;Viñegra de Moraña;47;23;24
05265;Vita;79;46;33
05266;Zapardiel de la Cañada;83;45;38
05267;Zapardiel de la Ribera;84;44;40
06001;Acedera;814;422;392
06002;Aceuchal;5446;2699;2747
06003;Ahillones;797;400;397
06004;Alange;1831;944;887
06005;Albuera, La;2002;1033;969
06006;Alburquerque;5063;2533;2530
06007;Alconchel;1634;829;805
06008;Alconera;758;383;375
06009;Aljucén;261;143;118
06010;Almendral;1195;604;591
06011;Almendralejo;33948;16755;17193
06012;Arroyo de San Serván;4038;2029;2009
06013;Atalaya;278;145;133
06014;Azuaga;7624;3777;3847
06015;Badajoz;150190;72584;77606
06016;Barcarrota;3452;1743;1709
06017;Baterno;243;133;110
06018;Benquerencia de la Serena;783;392;391
06019;Berlanga;2219;1104;1115
06020;Bienvenida;2031;1031;1000
06021;Bodonal de la Sierra;1001;507;494
06022;Burguillos del Cerro;3015;1485;1530
06023;Cabeza del Buey;4583;2289;2294
06024;Cabeza la Vaca;1272;662;610
06025;Calamonte;6095;3017;3078
06026;Calera de León;917;471;446
06027;Calzadilla de los Barros;699;353;346
06028;Campanario;4742;2341;2401
06029;Campillo de Llerena;1329;657;672
06030;Capilla;155;82;73
06031;Carmonita;518;259;259
06032;Carrascalejo, El;78;43;35
06033;Casas de Don Pedro;1380;707;673
06034;Casas de Reina;203;104;99
06035;Castilblanco;852;436;416
06036;Castuera;5567;2777;2790
06042;Cheles;1162;574;588
06037;Codosera, La;2004;1046;958
06038;Cordobilla de Lácara;838;441;397
06039;Coronada, La;2153;1049;1104
06040;Corte de Peleas;1163;571;592
06041;Cristina;553;280;273
06043;Don Álvaro;814;433;381
06044;Don Benito;37485;18467;19018
06045;Entrín Bajo;546;278;268
06046;Esparragalejo;1510;747;763
06047;Esparragosa de la Serena;960;484;476
06048;Esparragosa de Lares;875;435;440
06049;Feria;1050;505;545
06050;Fregenal de la Sierra;4753;2326;2427
06051;Fuenlabrada de los Montes;1736;847;889
06052;Fuente de Cantos;4638;2301;2337
06053;Fuente del Arco;668;345;323
06054;Fuente del Maestre;6626;3269;3357
06055;Fuentes de León;2198;1084;1114
06056;Garbayuela;494;260;234
06057;Garlitos;539;270;269
06058;Garrovilla, La;2297;1131;1166
06059;Granja de Torrehermosa;1933;957;976
06903;Guadiana;2416;1187;1229
06060;Guareña;6668;3331;3337
06061;Haba, La;1208;606;602
06062;Helechosa de los Montes;587;337;250
06063;Herrera del Duque;3413;1718;1695
06064;Higuera de la Serena;901;461;440
06065;Higuera de Llerena;350;179;171
06066;Higuera de Vargas;1882;954;928
06067;Higuera la Real;2199;1113;1086
06068;Hinojosa del Valle;477;230;247
06069;Hornachos;3418;1709;1709
06070;Jerez de los Caballeros;9147;4485;4662
06071;Lapa, La;294;150;144
06073;Llera;806;408;398
06074;Llerena;5650;2807;2843
