municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;edad media;votos totales;votos blancos;participacion;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
17064;Espolla;Girona;43.602262;42.39238049;3.00104933;122.0;101-500;409;205;204;9.380247290840094;29.3;2.4;41360.0;25228.0;17522.0;49.4;23.399999999999995;22.5;3.7000000000000006;0.9;;220;6;72.61146496815286;0.259091;0.095455;0.031818;0.0;0.104545;0.15;0.231818;0.109091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018182
17065;Esponellà;Girona;15.7793;42.17884901;2.79549985;139.0;101-500;467;243;224;29.59573618601586;27.8;1.9;55449.0;27954.0;18397.0;49.5;16.3;30.899999999999995;2.2;1.1;;225;3;67.94117647058823;0.097778;0.044444;0.004444;0.0;0.115556;0.244444;0.342222;0.128889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022222
17005;Far d'Empordà, El;Girona;9.2969;42.25212616;2.99619535;43.0;501-1000;612;308;304;65.82839441104024;25.399999999999995;2.1;48270.0;24659.0;15631.0;68.2;15.0;12.9;3.2000000000000006;0.8000000000000002;;288;4;63.24786324786324;0.277778;0.09375;0.038194;0.0;0.097222;0.225694;0.208333;0.038194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020833
17066;Figueres;Girona;18.9909;42.2678359;2.96027805;41.0;20001-50000;47879;23669;24210;2521.1548689108995;30.246666666666663;2.546666666666667;34159.566666666666;18850.43333333333;12672.366666666669;61.943333333333335;19.383333333333333;10.91;5.55;2.24;;14938;141;55.44659132336858;0.330432;0.143928;0.122573;0.0;0.099009;0.104097;0.144263;0.031664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024033
17067;Flaçà;Girona;6.839;42.05017515;2.95358208;33.0;1001-2000;1155;559;596;168.88433981576253;26.100000000000005;2.4;39973.0;23109.0;15451.0;62.5;22.600000000000005;10.4;2.6;1.9;;471;5;67.55244755244755;0.220807;0.036093;0.03397;0.0;0.087049;0.205945;0.303609;0.097665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014862
17068;Foixà;Girona;18.5677;42.03884127;2.997994651;79.0;101-500;292;152;140;15.726234267033613;29.8;2.4;53437.0;32989.0;22735.0;51.6;18.4;27.899999999999995;1.7;0.4000000000000001;;169;4;72.31404958677686;0.171598;0.094675;0.029586;0.0;0.130178;0.12426;0.366864;0.059172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023669
17069;Fontanals de Cerdanya;Girona;28.678935000000003;42.38582555;1.89950069;1149.0;501-1000;533;278;255;18.585069494386733;36.5;2.9;56210.0;34251.0;24812.0;56.6;16.5;25.0;1.3999999999999997;0.6999999999999998;;294;2;71.73396674584322;0.197279;0.207483;0.078231;0.0;0.054422;0.142857;0.251701;0.037415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030612
17070;Fontanilles;Girona;9.376769;42.01207333;3.10741059;30.0;101-500;170;95;75;18.12991233974091;39.5;3.8;61806.0;28495.0;19338.0;38.3;11.5;47.1;1.8;1.3999999999999997;;80;1;69.35483870967742;0.15;0.075;0.025;0.0;0.05;0.175;0.4;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625
17071;Fontcoberta;Girona;17.0914;42.14287655;2.79015688;203.0;1001-2000;1439;736;703;84.19439016113367;22.899999999999995;2.0;54146.0;28916.0;18398.0;63.79999999999999;17.7;13.5;3.9;1.0;;780;8;73.08039747064137;0.192308;0.037179;0.035897;0.0;0.087179;0.24359;0.30641;0.070513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026923
17902;Forallac;Girona;50.2179;41.96006964;3.05439621;49.0;1001-2000;1752;852;900;34.887958277825234;33.275;2.6;47368.0;26717.75;17606.25;49.725;20.6;26.05;2.375;1.325;;867;9;67.02127659574468;0.22376;0.085352;0.042676;0.0;0.080738;0.191465;0.287197;0.051903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036909
17073;Fornells de la Selva;Girona;11.739834;41.93119771;2.81285895;101.0;2001-5000;2732;1350;1382;232.71197872133456;28.525;2.225;69188.0;35413.75;22474.5;65.95;11.525;20.15;1.775;0.625;;1434;15;72.38990598713508;0.200837;0.096234;0.038354;0.0;0.072524;0.145049;0.324965;0.092748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029289
17074;Fortià;Girona;10.8839;42.24200453;3.04092186;8.0;501-1000;786;380;406;72.21676053620484;29.0;2.3;45483.0;25251.0;16798.0;63.5;15.6;16.5;2.9;1.5;;364;3;67.08633093525181;0.25;0.082418;0.101648;0.0;0.082418;0.236264;0.175824;0.057692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013736
17075;Garrigàs;Girona;19.7166;42.19277305;2.95297191;110.0;101-500;463;242;221;23.48275057565706;28.3;2.2;48612.0;27187.0;18190.0;63.70000000000001;16.6;16.7;1.7;1.3;;255;5;76.23188405797102;0.133333;0.066667;0.078431;0.0;0.133333;0.25098;0.219608;0.070588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047059
17076;Garrigoles;Girona;9.037;42.10714627;3.03082812;85.0;101-500;190;100;90;21.0246763306407;32.5;2.5;54431.0;30990.0;20821.0;56.29999999999999;17.7;23.3;1.5;1.3;;97;5;79.1044776119403;0.113402;0.010309;0.010309;0.0;0.298969;0.164948;0.185567;0.14433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.072165
17077;Garriguella;Girona;21.149064;42.34215233;3.06508744;55.0;501-1000;972;495;477;45.95948075999959;29.7;2.6;44058.0;25032.0;16516.0;53.70000000000001;20.3;22.600000000000005;2.4;1.0;;423;6;67.93048973143759;0.269504;0.068558;0.061466;0.0;0.130024;0.165485;0.20331;0.073286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028369
17078;Ger;Girona;32.7823;42.41127149;1.84395105;1134.0;501-1000;507;277;230;15.465662872952782;33.9;2.4;52841.0;31315.0;22883.0;56.5;13.800000000000002;26.7;2.5;0.5;;251;5;67.27272727272727;0.091633;0.143426;0.031873;0.0;0.067729;0.179283;0.342629;0.095618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047809
17079;Girona;Girona;38.972581;41.98186075;2.82411899;69.0;100001-500000;104320;50165;54155;2676.753689985275;30.469565217391303;2.608695652173913;45295.79710144927;25872.89855072464;17409.768115942028;61.76811594202898;18.36521739130435;14.407246376811594;4.005797101449275;1.4695652173913043;41.22;41437;341;62.5467054148627;0.295678;0.108526;0.063156;0.0;0.115621;0.119676;0.192268;0.078891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026184
17080;Gombrèn;Girona;43.299;42.24850269;2.09102878;910.0;101-500;200;99;101;4.619044319730248;34.6;1.9;41938.0;25332.0;17205.0;62.4;19.3;16.3;1.3999999999999997;0.6;;105;4;68.55345911949685;0.180952;0.066667;0.047619;0.0;0.095238;0.238095;0.152381;0.142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07619
17081;Gualta;Girona;9.101396;42.02919814;3.10389985;10.0;101-500;430;250;180;47.24549948161799;34.5;2.2;52000.0;25090.0;16153.0;57.1;17.4;21.600000000000005;2.5;1.5;;174;3;71.03174603174604;0.201149;0.086207;0.034483;0.0;0.086207;0.155172;0.327586;0.057471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.051724
17082;Guils de Cerdanya;Girona;22.262809;42.44794164;1.87825086;1379.0;501-1000;598;319;279;26.860941042974407;31.2;2.2;54959.0;30759.0;21407.0;52.9;16.4;27.899999999999995;2.1;0.6999999999999998;;297;2;62.31884057971014;0.151515;0.161616;0.087542;0.0;0.070707;0.185185;0.272727;0.050505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020202
17083;Hostalric;Girona;3.4438;41.74404536;2.63362376;159.0;2001-5000;4410;2208;2202;1280.5621696962658;26.74;2.32;37422.6;21385.4;14326.6;64.97999999999999;20.1;8.440000000000001;4.42;2.02;;1935;22;63.75080697224016;0.291473;0.084238;0.058915;0.0;0.162274;0.156072;0.182429;0.043928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020672
17084;Isòvol;Girona;10.802422;42.37722114;1.817157318;1035.0;101-500;341;188;153;31.56699488318453;32.9;2.7999999999999994;46777.0;29576.0;20382.0;56.70000000000001;15.6;24.600000000000005;2.2;0.9;;185;1;70.67669172932331;0.2;0.075676;0.032432;0.0;0.064865;0.216216;0.340541;0.037838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032432
