id_municipio;nombre_municipio;id_provincia;superficie_km2;perimetro;longitud;latitud;altitud
16055;Carboneras de Guadazaón;16;100.652589;53435;-1.81320516;39.89986629;1027.0
16056;Cardenete;16;97.505583;46321;-1.68746513;39.76685343;964.0
16057;Carrascosa;16;71.46722700000001;41747;-2.16375249;40.59030324;1243.0
16058;Carrascosa de Haro;16;29.053222;24960;-2.54061738;39.59774096;790.0
16060;Casas de Benítez;16;46.761;43796;-2.12822918;39.36045805;753.0
16061;Casas de Fernando Alonso;16;30.278184;23389;-2.32596091;39.35210263;727.0
16062;Casas de Garcimolina;16;38.685598;32691;-1.41736787;39.99711341;1153.0
16063;Casas de Guijarro;16;8.202465;10984;-2.16341711;39.34633539;753.0
16064;Casas de Haro;16;110.83670000000001;46837;-2.27032918;39.32344693;729.0
16065;Casas de los Pinos;16;68.2209;38753;-2.37064698;39.33377344;726.0
16066;Casasimarro;16;49.618781;30258;-2.03987145;39.39285821;751.0
16067;Castejón;16;43.619603;28137;-2.51848176;40.38154522;861.0
16068;Castillejo de Iniesta;16;27.701524;20477;-1.76092683;39.52519483;823.0
16070;Castillejo-Sierra;16;30.3688;29040;-2.14057757;40.37584776;1007.0
16071;Castillo-Albaráñez;16;12.431747;14155;-2.39286598;40.29852896;900.0
16072;Castillo de Garcimuñoz;16;82.212672;83950;-2.38226214;39.66060965;932.0
16073;Cervera del Llano;16;55.485426;34054;-2.42052799;39.78389491;898.0
16074;La Cierva;16;71.7029;38388;-1.85200478;40.05743669;1261.0
16078;Cuenca;16;910.8757;585135;-2.13152306;40.07653762;997.0
16079;Cueva del Hierro;16;28.201387;24689;-2.03662443;40.5827179;1334.0
16081;Chumillas;16;39.5804;28453;-2.03450853;39.77014301;1034.0
16082;Enguídanos;16;165.346788;71640;-1.6068606;39.6735915;734.0
16083;Fresneda de Altarejos;16;59.897462999999995;41234;-2.31395832;39.92519278;902.0
16084;Fresneda de la Sierra;16;31.9038;24875;-2.14243248;40.3912039;993.0
16085;La Frontera;16;34.568624;23162;-2.21843422;40.40199529;976.0
16086;Fuente de Pedro Naharro;16;63.5818;34934;-3.010369115;39.92411464;772.0
16087;Fuentelespino de Haro;16;33.435542;26425;-2.66971638;39.69004964;851.0
16088;Fuentelespino de Moya;16;65.717833;34400;-1.4697313;39.92038263;1104.0
16089;Fuentes;16;107.65729999999999;47701;-2.02241033;39.94984979;1023.0
16091;Fuertescusa;16;64.03699999999999;31262;-2.17584717;40.47522142;982.0
16092;Gabaldón;16;84.102857;39452;-1.94481967;39.6259051;920.0
16093;Garaballa;16;69.774925;38522;-1.37486155;39.81246658;945.0
16094;Gascueña;16;51.810324;35032;-2.51846453;40.29975123;932.0
16095;Graja de Campalbo;16;22.295585000000003;19900;-1.27034536;39.89880374;1101.0
16096;Graja de Iniesta;16;28.222351;22393;-1.6720477;39.51686137;835.0
16097;Henarejos;16;145.898668;53866;-1.48521246;39.86406141;1073.0
16098;El Herrumblar;16;46.09778;32910;-1.6223723;39.40267488;775.0
16099;La Hinojosa;16;42.113906;26732;-2.41680206;39.72724768;939.0
16100;Los Hinojosos;16;114.0192;46452;-2.82462934;39.6031679;775.0
16101;El Hito;16;41.21934;25680;-2.71473593;39.85902815;869.0
16102;Honrubia;16;110.337252;55328;-2.28052957;39.61196266;815.0
16103;Hontanaya;16;53.625772;32770;-2.83547482;39.71522689;807.0
16104;Hontecillas;16;34.702605;28280;-2.18724703;39.6930609;828.0
16106;Horcajo de Santiago;16;96.025827;48178;-2.998269784;39.8416913;756.0
16107;Huélamo;16;79.24340000000001;37103;-1.80944353;40.27789389;1316.0
16108;Huelves;16;39.3364;28502;-2.883700019;40.0428309;821.0
16109;Huérguina;16;28.00657;22577;-1.60840712;40.04049456;1110.0
16110;Huerta de la Obispalía;16;41.884554;31268;-2.48175484;39.98928703;929.0
16111;Huerta del Marquesado;16;35.692238;29088;-1.68584159;40.14529346;1262.0
16112;Huete;16;377.567622;113848;-2.69166859;40.14530976;835.0
16113;Iniesta;16;232.28240000000002;155320;-1.74974952;39.44322663;769.0
16115;Laguna del Marquesado;16;37.913764;27742;-1.6716896;40.17752868;1319.0
16116;Lagunaseca;16;34.3371;26853;-2.01796089;40.53062527;1362.0
16117;Landete;16;79.344793;45793;-1.36715368;39.90848745;988.0
16118;Ledaña;16;65.47;32404;-1.71625632;39.35596726;725.0
16119;Leganiel;16;45.102506999999996;30600;-2.950562571;40.16473955;752.0
16121;Las Majadas;16;88.3344;63341;-2.02084694;40.29780502;1390.0
16122;Mariana;16;39.9726;27424;-2.14509395;40.1663004;961.0
16123;Masegosa;16;30.8208;37273;-2.02563118;40.54720333;1376.0
16124;Las Mesas;16;86.45459999999999;49879;-2.76724347;39.38995878;689.0
16125;Minglanilla;16;109.56639999999999;52461;-1.59575034;39.53520115;823.0
16126;Mira;16;212.861793;66878;-1.44005271;39.72027555;830.0
16128;Monreal del Llano;16;39.022331;29232;-2.76183575;39.56911366;735.0
16129;Montalbanejo;16;59.328669;31885;-2.49786879;39.7348982;905.0
16130;Montalbo;16;73.964817;38027;-2.67223021;39.87798969;891.0
16131;Monteagudo de las Salinas;16;131.8598;75172;-1.90086469;39.80409232;1017.0
16132;Mota de Altarejos;16;16.951067000000002;18542;-2.31023829;39.8819054;865.0
16133;Mota del Cuervo;16;176.1725;73986;-2.87081044;39.49865371;707.0
16134;Motilla del Palancar;16;73.893568;34561;-1.90994719;39.56052095;830.0
16135;Moya;16;91.732342;38729;-1.36801571;39.94852738;1136.0
16137;Narboneta;16;34.94887;29302;-1.47390744;39.75052921;850.0
16139;Olivares de Júcar;16;50.00023100000001;31118;-2.35141426;39.76034602;906.0
16140;Olmeda de la Cuesta;16;23.227204;19738;-2.476263485;40.31103572;898.0
16141;Olmeda del Rey;16;74.6117;47382;-2.08303917;39.80837829;938.0
16142;Olmedilla de Alarcón;16;38.308195;30208;-2.10451933;39.61473083;822.0
16143;Olmedilla de Eliz;16;13.309918;15963;-2.42030612;40.30256183;869.0
16145;Osa de la Vega;16;53.339623;28833;-2.76219465;39.6612813;764.0
16146;Pajarón;16;52.610690000000005;32734;-1.78289386;39.95747423;1051.0
16147;Pajaroncillo;16;56.914851;30992;-1.73384857;39.94746168;983.0
16148;Palomares del Campo;16;60.984992000000005;36127;-2.59892074;39.9477122;877.0
16149;Palomera;16;50.2746;33406;-2.05021182;40.06736734;1075.0
16150;Paracuellos;16;123.47637300000001;48911;-1.78860855;39.7173904;969.0
16151;Paredes;16;19.3545;21961;-2.853743653;40.06601363;832.0
16152;La Parra de las Vegas;16;61.511123;37788;-2.20459141;39.86832639;1023.0
16153;El Pedernoso;16;56.3679;30714;-2.74454177;39.48508097;716.0
16154;Las Pedroñeras;16;225.06220000000002;78085;-2.67521669;39.45215365;709.0
16155;El Peral;16;85.842792;38242;-1.89855566;39.49914409;793.0
16156;La Peraleja;16;34.934785000000005;24641;-2.55552695;40.23568169;877.0
16157;La Pesquera;16;72.3603;39691;-1.58539573;39.5723678;795.0
16158;El Picazo;16;24.902240000000003;30318;-2.08881781;39.4481972;698.0
16159;Pinarejo;16;61.819857;39011;-2.42546129;39.61471691;882.0
16160;Pineda de Gigüela;16;29.076017999999998;21565;-2.54329702;40.08580618;976.0
16161;Piqueras del Castillo;16;45.857779;25811;-2.08387929;39.72126766;927.0
16162;Portalrubio de Guadamejud;16;20.973487;21257;-2.604358488;40.27210987;817.0
16163;Portilla;16;32.913064;24280;-2.08339605;40.2890564;1066.0
16165;Poyatos;16;45.0541;27052;-2.04930299;40.42311458;1240.0
16166;Pozoamargo;16;53.327;36586;-2.19687565;39.36647507;752.0
16167;Pozorrubio de Santiago;16;44.701707999999996;34968;-2.949698292;39.81629118;785.0
16169;El Pozuelo;16;41.261514;28748;-2.27812708;40.6204796;1218.0
16170;Priego;16;80.339397;41022;-2.31716398;40.44855782;848.0
16171;El Provencio;16;101.6026;48065;-2.57366524;39.37643287;699.0
16172;Puebla de Almenara;16;37.669101;25172;-2.81685893;39.78393775;864.0
16173;El Valle de Altomira;16;147.412001;55471;-2.75970371;40.2244204;801.0
16174;Puebla del Salvador;16;48.090376;27176;-1.67436579;39.56438888;842.0
16175;Quintanar del Rey;16;79.918269;38715;-1.92764017;39.34251913;728.0
16176;Rada de Haro;16;32.2539;26058;-2.62076255;39.56981018;823.0
16177;Reíllo;16;81.697776;39765;-1.87168988;39.90581103;1022.0
16181;Rozalén del Monte;16;30.627215999999997;22945;-2.805433823;39.99042625;874.0
16185;Saceda-Trasierra;16;30.921245;23655;-2.85428558;40.15527644;904.0
16186;Saelices;16;80.61807300000001;39131;-2.8055779;39.9209774;930.0
16187;Salinas del Manzano;16;33.646102;24599;-1.55634669;40.08849771;1132.0
16188;Salmeroncillos;16;20.677929;23675;-2.52128273;40.50471896;761.0
16189;Salvacañete;16;120.281924;51129;-1.50242309;40.0987678;1212.0
16190;San Clemente;16;277.51439999999997;104063;-2.42962901;39.40330614;721.0
16191;San Lorenzo de la Parrilla;16;59.888863;45293;-2.36103293;39.85130155;940.0
16192;San Martín de Boniches;16;69.769862;44568;-1.57374801;39.88559941;1208.0
16193;San Pedro Palmiches;16;19.848683;20403;-2.40780637;40.4291571;820.0
16194;Santa Cruz de Moya;16;110.7415;58190;-1.25487494;39.95479741;763.0
16195;Santa María del Campo Rus;16;93.634604;45099;-2.42290033;39.55840725;788.0
16196;Santa María de los Llanos;16;43.01390000000001;37939;-2.81131288;39.48862424;716.0
16197;Santa María del Val;16;47.061099999999996;30951;-2.04141767;40.50434552;1196.0
16198;Sisante;16;134.355299;61696;-2.20115957;39.40713272;744.0
16199;Solera de Gabaldón;16;50.489053999999996;30617;-1.97762435;39.74803197;1043.0
16202;Talayuelas;16;106.588954;41621;-1.28430223;39.84759587;991.0
16203;Tarancón;16;106.579;46106;-3.004177176;40.01291618;810.0
16204;Tébar;16;99.022521;48576;-2.16555868;39.49960946;888.0
16205;Tejadillos;16;63.281485;33885;-1.63474902;40.1418641;1235.0
16206;Tinajas;16;46.894653;31606;-2.581654205;40.32583036;870.0
16209;Torralba;16;55.487122;29870;-2.28485822;40.30330749;912.0
16211;Torrejoncillo del Rey;16;201.456829;83402;-2.57430524;40.00762093;931.0
16212;Torrubia del Campo;16;53.36020499999999;36525;-2.961386531;39.89595488;799.0
16213;Torrubia del Castillo;16;17.467238;19162;-2.31139557;39.65824649;849.0
16215;Tragacete;16;61.7482;39264;-1.85099186;40.34920575;1281.0
16216;Tresjuncos;16;70.290426;33688;-2.75659528;39.69874336;796.0
16217;Tribaldos;16;21.2838;21740;-2.898318635;39.97182791;823.0
16218;Uclés;16;64.6116;65605;-2.861444517;39.98083096;842.0
16219;Uña;16;23.5489;36828;-1.97819824;40.22338108;1139.0
16224;Valdemeca;16;69.82;33809;-1.74369931;40.22401814;1322.0
16225;Valdemorillo de la Sierra;16;70.273337;36738;-1.78174966;40.03902441;1200.0
16227;Valdemoro-Sierra;16;107.64020000000001;48242;-1.76707909;40.10118642;1111.0
16228;Valdeolivas;16;46.046054999999996;30438;-2.44455231;40.50509607;926.0
16231;Valhermoso de la Fuente;16;32.124674;23601;-2.01741436;39.55295569;800.0
16234;Valsalobre;16;38.083301;25282;-2.09292236;40.61717284;1225.0
16236;Valverde de Júcar;16;56.214888;42104;-2.21800571;39.71856361;817.0
16237;Valverdejo;16;32.472648;26629;-2.023089284;39.61612733;869.0
16238;Vara de Rey;16;127.876116;53051;-2.29495241;39.42438985;822.0
16239;Vega del Codorno;16;32.2652;27359;-1.92940245;40.43389447;1344.0
16240;Vellisca;16;42.97879;27776;-2.81427973;40.12882196;943.0
16242;Villaconejos de Trabaque;16;31.856001000000003;22748;-2.31812472;40.40135638;813.0
16243;Villaescusa de Haro;16;93.20129999999999;56652;-2.67442166;39.59725685;824.0
16244;Villagarcía del Llano;16;116.839622;48857;-1.84625561;39.32654926;728.0
16245;Villalba de la Sierra;16;41.2383;28132;-2.08765887;40.23624228;994.0
16246;Villalba del Rey;16;95.07019899999999;51680;-2.64103615;40.34448602;787.0
16247;Villalgordo del Marquesado;16;30.297075;25446;-2.50830315;39.68222427;857.0
16248;Villalpardo;16;31.486995999999998;33358;-1.62529227;39.47333079;775.0
16249;Villamayor de Santiago;16;181.165055;62423;-2.92775691;39.7285842;775.0
16250;Villanueva de Guadamejud;16;30.611793;26360;-2.50703229;40.22470982;812.0
16251;Villanueva de la Jara;16;156.06;69678;-1.9505386;39.43910272;769.0
