ID_MUNICIPIO;FECHA_ELECCION;V_+MAS+_2015;V_AJU_2015;V_ARAPV_2015;V_AVANT_2015;V_C's_2015;V_CANARIAS_DE_2015;V_CCD_2015;V_CCa-PNC_2015;V_CENTRO_MODE_2015;V_CILUS_2015;V_CRA_2015;V_DL_2015;V_DN_2015;V_EAJ-PNV_2015;V_EB_2015;V_EH_Bildu_2015;V_EL_PI_2015;V_EN_COMÚ_2015;V_EN_POSITIU_2015;V_ERC-CATSI_2015;V_EU-eX_2015;V_FDEE_2015;V_FE_de_las_J_2015;V_GBAI_2015;V_IFem_2015;V_IU-UPeC_2015;V_Independien_2015;V_JS,PC_2015;V_Ln_2015;V_MÉS_2015;V_NÓS_2015;V_OE_2015;V_P-LIB_2015;V_PACMA_2015;V_PCOE_2015;V_PCPE_2015;V_PFyV_2015;V_PH_2015;V_PLD_2015;V_PODEMOS_2015;V_PODEMOS-COM_2015;V_PODEMOS-En_2015;V_PP_2015;V_PREPAL_2015;V_PSOE_2015;V_PT_2015;V_PUM+J_2015;V_RECORTES_CE_2015;V_SAIn_2015;V_SOLUCIONA_2015;V_SOMVAL_2015;V_UPYD_2015;V_VOX_2015;V_X_LA_IZQUIE_2015;V_mlgXSÍ_2015;V_uniocat_2015
02006;2015-12;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;36;0;0;225;0;178;0;0;0;0;0;0;0;0;0;0;0
02007;2015-12;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;3;0;0;0;0;0;110;0;0;245;0;399;0;0;0;0;0;0;4;0;0;0;0
02008;2015-12;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;2;0;1;0;0;0;97;0;0;343;0;355;0;0;1;0;0;0;4;2;0;0;0
02009;2015-12;0;0;0;0;2188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;0;0;0;0;0;0;0;86;0;12;0;0;3;2483;0;0;4954;0;4116;0;0;18;0;0;0;67;24;0;0;0
02010;2015-12;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;2;0;0;0;0;0;129;0;0;598;0;530;0;0;0;0;0;0;1;0;0;0;0
02011;2015-12;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;0;224;0;248;0;0;0;0;0;0;1;0;0;0;0
02012;2015-12;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;6;0;0;0;0;0;85;0;0;473;0;791;0;0;1;0;0;0;1;1;0;0;0
02013;2015-12;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;8;0;0;50;0;22;0;0;0;0;0;0;0;0;0;0;0
02014;2015-12;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;101;0;121;0;0;0;0;0;0;0;1;0;0;0
02015;2015-12;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;2;0;0;0;0;0;97;0;0;468;0;474;0;0;0;0;0;0;1;0;0;0;0
02016;2015-12;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;3;40;0;0;170;0;168;0;0;0;0;0;0;1;1;0;0;0
02017;2015-12;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;253;0;270;0;0;0;0;0;0;0;1;0;0;0
02018;2015-12;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1;0;0;0;0;0;39;0;0;291;0;236;0;0;0;0;0;0;3;2;0;0;0
02019;2015-12;0;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;5;0;3;0;0;0;189;0;0;665;0;884;0;0;2;0;0;0;7;2;0;0;0
02020;2015-12;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;157;0;158;0;0;0;0;0;0;4;0;0;0;0
02021;2015-12;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;3;0;0;0;0;2;103;0;0;362;0;244;0;0;1;0;0;0;1;1;0;0;0
02022;2015-12;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;154;0;70;0;0;0;0;0;0;0;2;0;0;0
02023;2015-12;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;1;41;0;0;228;0;154;0;0;1;0;0;0;0;0;0;0;0
02024;2015-12;0;0;0;0;405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;25;0;3;0;0;1;383;0;0;871;0;821;0;0;3;0;0;0;11;1;0;0;0
02025;2015-12;0;0;0;0;974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;58;0;2;0;0;2;834;0;0;2392;0;1206;0;0;17;0;0;0;29;27;0;0;0
02026;2015-12;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;1;0;0;0;0;0;70;0;0;220;0;298;0;0;1;0;0;0;0;0;0;0;0
02027;2015-12;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;118;0;85;0;0;0;0;0;0;1;0;0;0;0
