municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;votos totales;imputado
02061;Pétrola;Albacete;74.60734599999999;38.82629814;-1.55549981;870.0;501-1000;692;350;342;9.275226061519463;30.0;2.3;22023.0;14600.0;10408.0;46.4;32.0;14.5;4.8;2.3;455;False
02062;Povedilla;Albacete;49.427325;38.70163971;-2.60393627;872.0;101-500;430;241;189;8.699641342111878;25.8;2.4;20016.0;13675.0;9908.0;47.4;32.7;9.8;5.5;4.6;254;False
02901;Pozo Cañada;Albacete;116.8338;38.801361;-1.73622317;830.0;2001-5000;2797;1418;1379;23.93998996865633;26.05;2.2;24879.25;14067.0;9215.25;62.425;20.85;9.425;4.375;2.975;1409;False
02063;Pozohondo;Albacete;136.4245;38.721122;-1.91133356;871.0;1001-2000;1585;826;759;11.618147766713458;27.899999999999995;2.3;21924.0;13848.0;9759.0;48.0;30.2;14.1;4.6;3.1;970;False
02064;Pozo-Lorente;Albacete;80.9871;39.07663024;-1.50647855;769.0;101-500;409;208;201;5.050187005090934;33.9;2.7000000000000006;23993.0;15696.0;11029.0;47.20000000000001;33.6;10.699999999999998;5.400000000000001;3.2000000000000006;281;False
02065;Pozuelo;Albacete;133.9779;38.80969625;-2.10117384;845.0;101-500;481;255;226;3.590144344701626;29.899999999999995;2.6;24341.0;16499.0;11776.0;57.9;25.399999999999995;11.5;3.2000000000000006;2.1;361;False
02066;Recueja, La;Albacete;29.739107;39.17688319;-1.48988779;542.0;101-500;242;133;109;8.13743331297742;24.600000000000005;2.0;20833.0;13426.0;9650.0;33.3;43.20000000000001;13.699999999999998;6.8;2.9;162;False
02067;Riópar;Albacete;81.0028;38.4998099;-2.41839311;1126.0;1001-2000;1332;687;645;16.443876014162473;28.2;2.2;21214.0;13337.0;9208.0;52.5;29.2;8.9;5.3;4.1;792;False
02068;Robledo;Albacete;120.084392;38.75778452;-2.44882682;1041.0;101-500;367;200;167;3.056184020984176;25.0;2.3;24657.0;16303.0;11471.0;60.5;22.5;9.8;3.6;3.6;236;False
02069;Roda, La;Albacete;397.8807;39.20706504;-2.15924796;708.0;10001-20000;15476;7818;7658;38.89608116201666;29.678571428571427;2.435714285714286;26907.78571428572;15203.857142857143;10076.42857142857;61.271428571428565;18.292857142857144;13.6;4.385714285714285;2.4785714285714286;7945;False
02070;Salobre;Albacete;49.528648;38.59195258;-2.55057256;920.0;101-500;480;258;222;9.691360846353003;25.8;2.2;20690.0;13490.0;9631.0;43.70000000000001;37.3;11.1;4.1;3.8;295;False
02071;San Pedro;Albacete;83.11597;38.82654004;-2.186211;844.0;1001-2000;1242;627;615;14.94297666260768;28.600000000000005;2.1;25429.0;15343.0;10635.0;57.5;20.7;13.6;3.9;4.2;788;False
02072;Socovos;Albacete;139.1213;38.33202632;-1.98469065;734.0;1001-2000;1787;920;867;12.844905848349606;28.52;2.14;18878.4;11925.6;8337.8;40.88;34.7;13.28;6.6;4.6;951;False
02073;Tarazona de la Mancha;Albacete;212.6716;39.26539647;-1.91280979;713.0;5001-10000;6235;3197;3038;29.31750172566529;30.0375;2.3625;21865.0;13598.75;9258.75;55.825;21.7;16.0125;3.9;2.5875;3359;False
02074;Tobarra;Albacete;325.2178;38.5922733;-1.69282296;652.0;5001-10000;7684;3931;3753;23.627243035282817;28.84;2.31;22086.4;12917.7;8649.5;55.41;25.29;10.18;5.82;3.3300000000000005;3971;False
02075;Valdeganga;Albacete;70.6562;39.13545152;-1.67646922;667.0;2001-5000;2028;1038;990;28.70236440680365;28.880000000000003;2.48;26124.2;15660.8;10453.2;57.82000000000001;23.46;11.0;5.36;2.34;1341;False
02076;Vianos;Albacete;128.0518;38.632307;-2.50149079;1118.0;101-500;346;174;172;2.7020315216185957;29.7;2.6;21531.0;14466.0;10600.0;49.4;34.4;10.0;3.7000000000000006;2.5;228;False
02077;Villa de Ves;Albacete;57.756400000000006;39.22231541;-1.25897631;744.0;<100;56;32;24;0.9695895173521896;29.4;2.54;23315.2;15807.2;11379.2;48.25;29.899999999999995;11.95;5.2;3.1;41;True
02078;Villalgordo del Júcar;Albacete;46.684938;39.29598679;-2.06309183;683.0;1001-2000;1094;576;518;23.43368218674725;25.100000000000005;2.2;21544.0;13134.0;8975.0;51.79999999999999;25.0;15.9;4.9;2.5;638;False
02079;Villamalea;Albacete;128.3289;39.36160785;-1.59908353;739.0;2001-5000;4027;2034;1993;31.38030482611477;26.72;2.14;24013.0;13765.6;9071.6;56.86;19.9;16.080000000000002;3.94;3.26;1961;False
02080;Villapalacios;Albacete;87.477445;38.57467359;-2.63505947;837.0;501-1000;583;304;279;6.664575079896309;30.2;2.4;25679.0;15584.0;10961.0;48.9;27.600000000000005;14.5;5.2;3.7000000000000006;352;False
02081;Villarrobledo;Albacete;862.3947999999999;39.26755792;-2.60714311;728.0;20001-50000;25184;12456;12728;29.202402426359715;27.42;2.355;27711.9;15392.25;10039.0;62.17;18.73;11.99;4.67;2.48;12545;False
02082;Villatoya;Albacete;18.6736;39.33385264;-1.33858599;409.0;101-500;109;65;44;5.837117642018678;32.1;2.7999999999999994;20073.0;15228.0;10966.0;48.79999999999999;28.399999999999995;13.4;7.3;2.2;80;False
02083;Villavaliente;Albacete;34.841712;39.12645758;-1.45799642;726.0;101-500;224;136;88;6.429075586182447;27.7;2.2;21042.0;14443.0;10425.0;38.3;35.0;21.7;3.0;2.0;181;False
02084;Villaverde de Guadalimar;Albacete;69.28960000000001;38.456169;-2.518480636;799.0;101-500;338;173;165;4.878076940839606;28.8;2.2;16766.0;12065.0;9060.0;43.79999999999999;33.4;9.8;7.7;5.400000000000001;189;False
