id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
45005;ALCAÑIZO;25;0;1;4;1;12;7;1;1;0;21;2;4;0;0;0;1;3;0;1;0;0;3
45006;ALCAUDETE DE LA JARA;266;13;33;67;12;65;76;21;11;24;195;15;11;0;6;0;1;4;0;1;1;5;4
45007;ALCOLEA DE TAJO;94;2;12;17;5;22;36;7;11;4;67;5;5;0;2;2;0;0;1;1;4;0;0
45008;ALDEA EN CABO;11;0;2;5;0;2;2;2;1;3;4;1;0;0;0;0;0;0;0;0;0;0;0
45009;ALDEANUEVA DE BARBARROYA;46;3;5;13;4;9;12;2;0;2;37;5;11;0;7;0;0;4;0;1;0;0;10
45010;ALDEANUEVA DE SAN BARTOLOME;28;0;6;8;1;6;7;0;0;1;26;1;2;1;1;0;0;0;0;1;0;0;1
45011;ALMENDRAL DE LA CAÑADA;38;0;2;15;0;6;15;0;1;6;29;2;1;0;1;0;0;0;0;0;0;0;1
45012;ALMONACID DE TOLEDO;58;1;7;15;4;13;18;8;2;7;37;4;35;0;18;5;0;12;0;9;5;1;20
45013;ALMOROX;172;11;22;35;11;43;50;8;3;24;123;14;29;0;13;3;1;12;0;1;6;6;16
45014;AÑOVER DE TAJO;466;29;59;80;15;124;159;23;53;35;317;38;86;4;28;5;2;46;1;9;11;11;55
45015;ARCICÓLLAR;65;6;6;10;2;18;23;2;4;10;39;10;6;1;3;0;0;2;0;1;1;0;4
45016;ARGES;469;15;61;85;21;148;139;5;32;33;371;28;52;0;18;1;0;32;1;0;0;4;48
45017;AZUTAN;44;3;2;9;3;11;16;2;0;6;34;2;0;0;0;0;0;0;0;0;0;0;0
45018;BARCIENCE;98;6;16;15;1;36;24;2;9;7;74;6;26;4;19;0;0;3;0;0;25;0;1
45019;BARGAS;733;34;99;147;33;230;190;21;54;64;539;55;144;2;86;1;4;49;2;16;12;63;53
45020;BELVIS DE LA JARA;143;6;20;28;8;32;49;16;16;9;97;5;14;0;6;0;1;7;0;3;3;1;7
45021;BOROX;322;16;39;56;17;93;101;25;40;22;208;27;173;5;77;2;3;84;2;18;66;8;81
45022;BUENAVENTURA;50;1;7;12;0;12;18;1;2;5;40;2;3;0;0;0;2;1;0;0;0;1;2
45023;BURGUILLOS DE TOLEDO;204;7;25;32;7;63;70;5;16;9;162;12;26;1;8;0;2;15;0;2;5;0;19
45024;BURUJON;97;8;8;12;7;38;24;5;19;6;53;14;70;0;27;0;0;43;0;1;0;1;68
45025;CABAÑAS DE LA SAGRA;202;14;26;38;11;36;77;5;21;19;129;28;15;1;9;1;0;4;0;0;2;3;10
45026;CABAÑAS DE YEPES;21;0;3;6;1;4;7;0;2;0;18;1;3;0;1;0;1;0;1;0;0;1;2
45027;CABEZAMESADA;26;2;2;9;0;6;7;4;4;1;14;3;6;0;4;0;0;2;0;5;0;0;1
