ID_MUNICIPIO;FECHA_ELECCION;V_ANDECHA_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AxS�_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP_2019;V_CUP-PR_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_JxCat_2019;V_MAS_2019;V_MDyC_2019;V_M_PA�S-CHA-_2019;V_M�S-ESQUERR_2019;V_M�S_COMPROM_2019;V_M�S_PA�S_2019;V_M�S_PA�S-EQ_2019;V_P-LIB_2019;V_PACMA_2019;V_PCPE_2019;V_PCTE_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-IU_2019;V_PP_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGI�_2019;V_SUMAR_2019;V_Teruel_Existe_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_S�-A_2019;V_UNI�N_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_�TERUEL_EXI_2019
29068;2019-11;0;0;4;0;0;0;0;0;0;0;489;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;82;0;59;2;2;0;0;0;489;846;0;0;0;1256;4;0;4;0;0;0;0;0;0;0;0;0;0;0;1509;0;0;0
29069;2019-11;0;0;93;0;0;0;0;0;0;0;4608;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;829;0;740;42;20;0;0;0;5534;12106;0;0;0;15864;59;0;78;0;0;0;0;0;0;0;0;0;0;0;12537;0;0;0
29070;2019-11;0;0;68;0;0;0;0;0;0;0;2778;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;602;0;621;21;17;0;0;0;3492;4867;0;0;0;7445;38;0;53;0;0;0;0;0;0;0;0;0;0;0;6980;0;0;0
29071;2019-11;0;0;2;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;55;124;0;0;0;229;0;0;1;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0
29072;2019-11;0;0;1;0;0;0;0;0;0;0;147;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;30;0;13;2;1;0;0;0;257;406;0;0;0;1046;3;0;3;0;0;0;0;0;0;0;0;0;0;0;373;0;0;0
29073;2019-11;0;0;1;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;11;3;1;0;0;0;210;152;0;0;0;431;1;0;0;0;0;0;0;0;0;0;0;0;0;0;175;0;0;0
29074;2019-11;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;1;0;0;0;0;29;110;0;0;0;253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;0;0
29075;2019-11;0;0;10;0;0;0;0;0;0;0;578;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;133;0;102;5;1;0;0;0;1018;2243;0;0;0;2332;7;0;7;0;0;0;0;0;0;0;0;0;0;0;1678;0;0;0
29076;2019-11;0;0;1;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;29;0;20;1;3;0;0;0;130;212;0;0;0;504;1;0;3;0;0;0;0;0;0;0;0;0;0;0;376;0;0;0
29077;2019-11;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;24;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0
