ID_MUNICIPIO;V_BLANCOS_2019;PARTICIPACION_2019
41050;36;76.43533732843612
41051;4;74.01812688821752
41052;6;71.30606860158312
41053;171;73.0327755497165
41054;3;78.16411682892907
41055;125;68.94057196944088
41056;37;76.9189042582045
41057;3;67.44186046511628
41058;200;71.78658944085542
41059;346;74.68748232366083
41060;122;70.06906627706203
41061;7;77.58056982718355
41062;12;75.26731752673174
41063;30;67.82449725776965
41064;56;62.834701892181364
41065;205;65.1840014205176
41066;7;70.92578423871461
41067;59;70.31486319263027
41068;96;68.72448614194657
41069;381;68.47551316188614
41070;70;73.08944349713222
41071;64;64.76395620175911
41072;15;73.6541801041925
41073;7;65.32066508313538
41074;19;71.9438877755511
41075;88;69.37015503875969
41076;11;58.38800374882849
41077;51;67.06059552774882
41078;12;70.42944785276075
41079;101;70.98546042003231
41080;14;67.58732737611697
41081;331;71.48132131332956
41082;11;75.87954680977937
41083;6;71.70305676855895
41084;9;72.49017506252233
41085;43;77.90530846484936
41086;137;63.13352676091116
41087;67;68.36222411669982
41088;2;71.45631067961165
41089;64;70.23108291798822
41090;27;73.37345944396675
41091;4676;72.1565553232813
41092;79;70.40749902356464
41093;151;77.98468317247168
41094;47;72.86022167487684
41095;512;67.40818154673038
41096;60;76.70767238588539
41097;13;70.16927499201533
41098;33;73.47413291997675
41099;14;61.80257510729614
41100;7;70.23060796645703
41101;53;71.35269709543567
41102;174;70.24301089826034
41901;47;78.04606240713224
41902;50;63.18764948901935
41903;72;68.12278630460449
41904;31;62.88429290106205
22001;0;69.33962264150944
22002;0;81.81818181818183
22003;0;79.25925925925927
22004;0;67.47967479674797
22006;4;62.31343283582089
22007;1;70.17310252996005
22008;2;78.47222222222221
22009;7;66.60929432013769
22011;0;81.63265306122449
22012;2;73.52941176470588
22013;3;73.80073800738008
22014;5;72.24669603524228
22015;1;72.90969899665552
22016;5;68.81720430107528
22017;2;74.21307506053269
22018;3;71.28712871287128
22019;1;72.72727272727273
22020;3;72.17391304347827
22021;26;70.64755838641189
22022;2;74.72324723247232
22023;2;76.1038961038961
22024;1;72.27272727272728
22025;14;68.98238747553816
22027;1;67.52411575562701
22028;1;66.20111731843575
22029;1;72.03389830508475
22032;1;67.64705882352942
22035;1;68.0
22036;1;84.52380952380952
22037;2;77.67857142857143
22039;4;78.10578105781057
22040;3;79.86577181208054
22041;2;80.0
22042;1;78.44827586206897
22043;0;56.98924731182796
