Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
03043;2.2;26.8;20813.0;18550.0;41072.0;17257.0;33599.0;14117.0
03044;2.4;28.0;16786.0;15750.0;35853.0;12922.0;30686.0;11059.0
03045;3.5;34.4;14237.0;13650.0;28083.0;11293.0;24253.0;9753.0
03046;2.8;32.0;18787.0;17150.0;39584.0;15360.0;32922.0;12775.0
03047;3.0;34.9;17312.0;15050.0;36777.0;14089.0;30717.0;11768.0
03048;2.6;31.1;16656.0;15050.0;34921.0;13015.0;29912.0;11148.0
03049;2.7;31.0;15870.0;13650.0;34916.0;12066.0;29943.0;10347.0
03050;2.9;34.2;21025.0;17850.0;43358.0;18066.0;35003.0;14584.0
03051;2.3;25.0;17491.0;16450.0;32440.0;13818.0;28129.0;11982.0
03052;2.3;27.7;19356.0;17850.0;39148.0;15331.0;33045.0;12941.0
03053;2.3;27.4;18656.0;17150.0;36764.0;15237.0;30756.0;12747.0
03054;2.8;31.6;18016.0;17150.0;31714.0;15125.0;27247.0;12995.0
03055;2.5;29.4;15947.0;15050.0;33371.0;12192.0;28957.0;10579.0
03056;2.6;31.0;19220.0;16450.0;38337.0;15722.0;31946.0;13101.0
03057;2.9;33.4;15428.0;14000.0;28248.0;13108.0;24776.0;11497.0
03058;2.3;29.0;17515.0;15050.0;38509.0;13636.0;32330.0;11448.0
03059;2.5;29.9;15976.0;14350.0;33381.0;12271.0;28857.0;10608.0
03060;2.3;26.4;16053.0;14350.0;24255.0;12987.0;21796.0;11670.0
03061;2.5;29.8;16842.0;15750.0;32662.0;13467.0;27977.0;11535.0
03062;2.9;32.3;18355.0;15750.0;33460.0;15453.0;28386.0;13110.0
03063;2.8;34.1;19038.0;16450.0;40379.0;15785.0;33138.0;12954.0
03064;2.6;29.6;15275.0;13650.0;31427.0;11725.0;27277.0;10176.0
03065;2.6;30.7;17876.0;15750.0;37755.0;14117.0;31689.0;11849.0
03066;2.6;30.7;16471.0;15050.0;32437.0;13007.0;27927.0;11198.0
03067;2.0;24.9;24886.0;21350.0;46315.0;22212.0;37662.0;18062.0
03068;;;;;;;;
03069;3.6;37.2;19201.0;16450.0;40571.0;16051.0;33102.0;13095.0
03070;2.7;30.8;14396.0;12950.0;27789.0;11269.0;24307.0;9857.0
03071;2.7;32.0;17309.0;15750.0;37798.0;13754.0;31582.0;11492.0
03072;2.4;30.2;19445.0;17150.0;37875.0;15959.0;31608.0;13318.0
03073;2.2;26.0;20536.0;18550.0;41670.0;16579.0;35445.0;14102.0
03074;2.5;28.6;16586.0;15750.0;36029.0;12474.0;31126.0;10776.0
03075;2.6;31.5;19690.0;17850.0;35485.0;16168.0;30045.0;13690.0
03076;2.8;33.5;17649.0;15750.0;35189.0;14546.0;29421.0;12161.0
03077;2.8;31.9;17150.0;15750.0;31281.0;14261.0;26759.0;12199.0
03078;3.1;33.3;14482.0;14350.0;25488.0;11886.0;22493.0;10490.0
03079;2.2;27.0;19834.0;17850.0;40362.0;16102.0;33385.0;13319.0
03080;2.3;28.1;17488.0;15750.0;35338.0;13809.0;30089.0;11758.0
03081;2.9;33.3;17659.0;15750.0;35409.0;14210.0;29918.0;12006.0
03082;3.3;37.3;18626.0;15750.0;40799.0;15505.0;32978.0;12533.0
03083;2.5;28.7;20102.0;18550.0;38722.0;16712.0;32361.0;13967.0
03084;2.0;25.4;21817.0;19250.0;41982.0;18433.0;34823.0;15290.0
03085;3.4;36.7;17716.0;15750.0;37314.0;14294.0;31496.0;12065.0
03086;2.6;31.1;20367.0;16450.0;36080.0;16998.0;30406.0;14325.0
