ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
46137;2016-06;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;48;0;0;88;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46138;2016-06;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;58;0;0;114;0;71;0;0;1;0;0;0;0;0;0;0;0;0;0;1
46139;2016-06;0;407;11;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;35;0;0;0;0;910;0;0;1361;0;812;0;0;3;0;0;0;2;0;0;0;0;0;2;9
46140;2016-06;0;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;89;0;0;86;0;45;0;0;0;1;0;0;0;0;0;0;0;0;0;0
46141;2016-06;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;82;0;0;174;0;56;0;0;2;0;0;0;0;0;0;0;0;0;0;0
46142;2016-06;0;66;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;108;0;0;266;0;148;0;0;1;1;0;0;1;0;0;0;0;0;2;0
46143;2016-06;0;306;16;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;34;0;3;0;0;911;0;0;1105;0;639;0;0;1;0;0;0;10;0;0;0;0;0;8;2
46144;2016-06;0;48;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;80;0;0;284;0;102;0;0;2;0;0;0;0;0;0;0;0;0;1;3
46145;2016-06;0;2221;34;0;0;0;0;6;0;0;0;0;0;0;18;0;0;0;0;0;0;0;266;0;10;0;0;4834;0;0;5248;0;3327;0;0;25;8;0;0;52;0;0;0;0;0;24;21
46146;2016-06;0;144;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;23;0;0;0;0;410;0;0;446;0;229;0;0;2;0;0;0;3;0;0;0;0;0;2;7
46147;2016-06;0;1525;41;0;0;0;0;4;0;0;0;0;0;0;16;0;0;0;0;0;0;0;152;0;15;0;0;3225;0;0;4312;0;2300;0;0;16;7;0;0;49;0;0;0;0;0;33;35
46148;2016-06;0;203;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;15;0;0;0;0;233;0;0;450;0;219;0;0;3;0;0;0;4;0;0;0;0;0;3;4
46149;2016-06;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;41;0;0;147;0;43;0;0;1;0;0;0;0;0;0;0;0;0;0;0
46150;2016-06;0;105;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;274;0;0;568;0;357;0;0;1;1;0;0;2;0;0;0;0;0;0;0
46151;2016-06;0;75;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;185;0;0;158;0;111;0;0;2;0;0;0;0;0;0;0;0;0;0;2
